Start Training ...
Epoch 0 , error 0.105534, seconds 42.70
Epoch 1 , error 0.055999, seconds 84.64
Epoch 2 , error 0.047593, seconds 126.99
Epoch 3 , error 0.041890, seconds 168.85
Epoch 4 , error 0.039073, seconds 211.09
Epoch 5 , error 0.036948, seconds 253.79
Epoch 6 , error 0.035767, seconds 296.02
Epoch 7 , error 0.034448, seconds 338.16
Epoch 8 , error 0.033519, seconds 379.76
Epoch 9 , error 0.032329, seconds 421.52
Epoch 10 , error 0.031217, seconds 463.07
Epoch 11 , error 0.030496, seconds 504.98
Epoch 12 , error 0.029587, seconds 545.95
Epoch 13 , error 0.028774, seconds 587.21
Epoch 14 , error 0.028295, seconds 628.39
Epoch 15 , error 0.027960, seconds 669.90
Epoch 16 , error 0.027251, seconds 712.70
Epoch 17 , error 0.026795, seconds 754.61
Epoch 18 , error 0.026169, seconds 796.34
Epoch 19 , error 0.025793, seconds 837.77
Epoch 20 , error 0.025455, seconds 879.14
Epoch 21 , error 0.024959, seconds 923.84
Epoch 22 , error 0.024942, seconds 967.58
Epoch 23 , error 0.024430, seconds 1011.63
Epoch 24 , error 0.024306, seconds 1055.72
Epoch 25 , error 0.024177, seconds 1100.24
Epoch 26 , error 0.023901, seconds 1141.94
Epoch 27 , error 0.023663, seconds 1184.18
Epoch 28 , error 0.023637, seconds 1226.12
Epoch 29 , error 0.022959, seconds 1267.80
Epoch 30 , error 0.022925, seconds 1309.32
Training Completed.
Start Training ...
Epoch 0 , error 0.112785, seconds 44.98
Epoch 1 , error 0.055509, seconds 90.36
Epoch 2 , error 0.045676, seconds 135.09
Epoch 3 , error 0.040426, seconds 179.99
Epoch 4 , error 0.036758, seconds 224.48
Epoch 5 , error 0.034532, seconds 269.26
Epoch 6 , error 0.033018, seconds 314.04
Epoch 7 , error 0.031423, seconds 358.90
Epoch 8 , error 0.030652, seconds 403.63
Epoch 9 , error 0.029607, seconds 448.28
Epoch 10 , error 0.028985, seconds 492.42
Epoch 11 , error 0.028502, seconds 537.41
Epoch 12 , error 0.027765, seconds 582.20
Epoch 13 , error 0.027177, seconds 627.75
Epoch 14 , error 0.026848, seconds 673.04
Epoch 15 , error 0.026439, seconds 718.40
Epoch 16 , error 0.026099, seconds 763.46
Epoch 17 , error 0.025837, seconds 807.86
Epoch 18 , error 0.025657, seconds 852.65
Epoch 19 , error 0.025021, seconds 897.30
Epoch 20 , error 0.024597, seconds 941.93
Epoch 21 , error 0.024902, seconds 986.75
Epoch 22 , error 0.024194, seconds 1032.09
Epoch 23 , error 0.024109, seconds 1077.39
Epoch 24 , error 0.023870, seconds 1122.24
Epoch 25 , error 0.023548, seconds 1167.45
Epoch 26 , error 0.023452, seconds 1212.68
Epoch 27 , error 0.023100, seconds 1257.38
Epoch 28 , error 0.022910, seconds 1302.00
Epoch 29 , error 0.022866, seconds 1346.72
Epoch 30 , error 0.022715, seconds 1391.28
Training Completed.
Start Training ...
Epoch 0 , error 0.082382, seconds 46.42
Epoch 1 , error 0.043493, seconds 92.98
Epoch 2 , error 0.038978, seconds 139.61
Epoch 3 , error 0.035961, seconds 186.03
Epoch 4 , error 0.033688, seconds 232.52
Epoch 5 , error 0.031936, seconds 278.97
Epoch 6 , error 0.030339, seconds 325.62
Epoch 7 , error 0.029335, seconds 372.02
Epoch 8 , error 0.028195, seconds 418.22
Epoch 9 , error 0.027508, seconds 464.66
Epoch 10 , error 0.027030, seconds 511.07
Epoch 11 , error 0.026500, seconds 557.57
Epoch 12 , error 0.025985, seconds 604.22
Epoch 13 , error 0.025723, seconds 650.40
Epoch 14 , error 0.025474, seconds 696.31
Epoch 15 , error 0.024976, seconds 742.71
Epoch 16 , error 0.024717, seconds 789.40
Epoch 17 , error 0.024219, seconds 835.51
Epoch 18 , error 0.024275, seconds 881.35
Epoch 19 , error 0.023764, seconds 927.34
Epoch 20 , error 0.023667, seconds 973.40
Epoch 21 , error 0.023291, seconds 1019.69
Epoch 22 , error 0.022907, seconds 1065.91
Epoch 23 , error 0.022848, seconds 1111.95
Epoch 24 , error 0.022452, seconds 1157.91
Epoch 25 , error 0.022383, seconds 1204.26
Training Completed.
Start Training ...
Epoch 0 , error 0.073995, seconds 42.29
Epoch 1 , error 0.042388, seconds 84.66
Epoch 2 , error 0.036107, seconds 127.03
Epoch 3 , error 0.032817, seconds 169.18
Epoch 4 , error 0.030275, seconds 210.92
Epoch 5 , error 0.028684, seconds 253.11
Epoch 6 , error 0.027390, seconds 295.41
Epoch 7 , error 0.026381, seconds 337.50
Epoch 8 , error 0.025631, seconds 379.93
Epoch 9 , error 0.025024, seconds 422.29
Epoch 10 , error 0.024593, seconds 464.37
Epoch 11 , error 0.023973, seconds 506.65
Epoch 12 , error 0.023773, seconds 548.84
Epoch 13 , error 0.023058, seconds 591.13
Epoch 14 , error 0.022821, seconds 633.12
Epoch 15 , error 0.022563, seconds 675.18
Epoch 16 , error 0.022332, seconds 717.65
Epoch 17 , error 0.022012, seconds 759.80
Epoch 18 , error 0.021646, seconds 801.91
Epoch 19 , error 0.021392, seconds 844.13
Epoch 20 , error 0.020947, seconds 885.94
Epoch 21 , error 0.020796, seconds 927.79
Epoch 22 , error 0.020650, seconds 969.69
Epoch 23 , error 0.020290, seconds 1011.35
Epoch 24 , error 0.019984, seconds 1052.91
Epoch 25 , error 0.019844, seconds 1094.96
Epoch 26 , error 0.019452, seconds 1137.06
Epoch 27 , error 0.019393, seconds 1179.54
Epoch 28 , error 0.018951, seconds 1222.20
Epoch 29 , error 0.018929, seconds 1264.97
Epoch 30 , error 0.018892, seconds 1307.69
Training Completed.
Start Training ...
Epoch 0 , error 0.069075, seconds 46.17
Epoch 1 , error 0.033724, seconds 92.37
Epoch 2 , error 0.029573, seconds 138.38
Epoch 3 , error 0.027390, seconds 184.41
Epoch 4 , error 0.025682, seconds 230.66
Epoch 5 , error 0.024824, seconds 276.85
Epoch 6 , error 0.024011, seconds 322.96
Epoch 7 , error 0.023200, seconds 368.88
Epoch 8 , error 0.023065, seconds 415.11
Epoch 9 , error 0.022194, seconds 461.13
Epoch 10 , error 0.021784, seconds 507.72
Epoch 11 , error 0.021379, seconds 553.48
Epoch 12 , error 0.021055, seconds 599.38
Epoch 13 , error 0.020596, seconds 645.36
Epoch 14 , error 0.020340, seconds 690.80
Epoch 15 , error 0.019959, seconds 736.01
Epoch 16 , error 0.019784, seconds 781.35
Epoch 17 , error 0.019638, seconds 826.82
Epoch 18 , error 0.019403, seconds 872.34
Epoch 19 , error 0.019306, seconds 917.78
Epoch 20 , error 0.018879, seconds 963.29
Epoch 21 , error 0.018787, seconds 1008.84
Epoch 22 , error 0.018520, seconds 1054.72
Epoch 23 , error 0.018522, seconds 1100.51
Epoch 24 , error 0.018346, seconds 1146.44
Epoch 25 , error 0.018185, seconds 1192.59
Epoch 26 , error 0.018105, seconds 1238.04
Epoch 27 , error 0.018127, seconds 1283.51
Epoch 28 , error 0.017950, seconds 1329.07
Epoch 29 , error 0.017839, seconds 1374.99
Epoch 30 , error 0.017467, seconds 1421.09
Training Completed.
Start Training ...
Epoch 0 , error 0.062401, seconds 46.82
Epoch 1 , error 0.032536, seconds 93.61
Epoch 2 , error 0.029871, seconds 139.85
Epoch 3 , error 0.027052, seconds 186.05
Epoch 4 , error 0.026012, seconds 232.21
Epoch 5 , error 0.025029, seconds 278.69
Epoch 6 , error 0.024019, seconds 325.64
Epoch 7 , error 0.023277, seconds 372.41
Epoch 8 , error 0.022940, seconds 419.38
Epoch 9 , error 0.022235, seconds 466.63
Epoch 10 , error 0.021656, seconds 513.53
Epoch 11 , error 0.021237, seconds 560.50
Epoch 12 , error 0.021059, seconds 607.77
Epoch 13 , error 0.020885, seconds 653.96
Epoch 14 , error 0.020267, seconds 700.39
Epoch 15 , error 0.020234, seconds 746.84
Epoch 16 , error 0.019734, seconds 793.00
Epoch 17 , error 0.019666, seconds 839.44
Epoch 18 , error 0.019698, seconds 886.33
Epoch 19 , error 0.019429, seconds 932.88
Epoch 20 , error 0.019244, seconds 979.11
Epoch 21 , error 0.019045, seconds 1025.22
Epoch 22 , error 0.018702, seconds 1071.43
Epoch 23 , error 0.018692, seconds 1117.55
Epoch 24 , error 0.018607, seconds 1163.60
Epoch 25 , error 0.018780, seconds 1209.47
Training Completed.
Start Training ...
Epoch 0 , error 0.057883, seconds 41.26
Epoch 1 , error 0.032122, seconds 82.95
Epoch 2 , error 0.028216, seconds 124.17
Epoch 3 , error 0.026342, seconds 165.97
Epoch 4 , error 0.024763, seconds 207.83
Epoch 5 , error 0.023697, seconds 249.71
Epoch 6 , error 0.022558, seconds 291.79
Epoch 7 , error 0.021962, seconds 333.71
Epoch 8 , error 0.021356, seconds 375.68
Epoch 9 , error 0.021008, seconds 417.41
Epoch 10 , error 0.020547, seconds 459.29
Epoch 11 , error 0.020377, seconds 501.17
Epoch 12 , error 0.019672, seconds 542.54
Epoch 13 , error 0.019405, seconds 583.80
Epoch 14 , error 0.019555, seconds 625.15
Epoch 15 , error 0.018979, seconds 666.30
Epoch 16 , error 0.018810, seconds 707.34
Epoch 17 , error 0.018344, seconds 748.89
Epoch 18 , error 0.018380, seconds 790.96
Epoch 19 , error 0.018196, seconds 832.93
Epoch 20 , error 0.018074, seconds 874.98
Epoch 21 , error 0.017616, seconds 916.89
Epoch 22 , error 0.017716, seconds 958.05
Epoch 23 , error 0.017455, seconds 999.22
Epoch 24 , error 0.017178, seconds 1040.55
Epoch 25 , error 0.017050, seconds 1082.08
Epoch 26 , error 0.017087, seconds 1123.21
Epoch 27 , error 0.016890, seconds 1164.42
Epoch 28 , error 0.016785, seconds 1205.65
Epoch 29 , error 0.016613, seconds 1247.16
Epoch 30 , error 0.016638, seconds 1288.07
Training Completed.
Start Training ...
Epoch 0 , error 0.054669, seconds 43.99
Epoch 1 , error 0.031362, seconds 88.57
Epoch 2 , error 0.028050, seconds 133.33
Epoch 3 , error 0.025852, seconds 178.22
Epoch 4 , error 0.024239, seconds 223.19
Epoch 5 , error 0.023103, seconds 267.97
Epoch 6 , error 0.022438, seconds 313.02
Epoch 7 , error 0.021828, seconds 357.81
Epoch 8 , error 0.021423, seconds 402.38
Epoch 9 , error 0.020787, seconds 447.10
Epoch 10 , error 0.020177, seconds 491.89
Epoch 11 , error 0.019809, seconds 536.30
Epoch 12 , error 0.019420, seconds 580.98
Epoch 13 , error 0.019200, seconds 626.12
Epoch 14 , error 0.019064, seconds 670.62
Epoch 15 , error 0.018650, seconds 714.81
Epoch 16 , error 0.018562, seconds 759.48
Epoch 17 , error 0.018181, seconds 804.10
Epoch 18 , error 0.018050, seconds 848.28
Epoch 19 , error 0.017868, seconds 892.73
Epoch 20 , error 0.019124, seconds 937.46
Epoch 21 , error 0.017392, seconds 981.98
Epoch 22 , error 0.017418, seconds 1026.80
Epoch 23 , error 0.017237, seconds 1071.60
Epoch 24 , error 0.017091, seconds 1116.37
Epoch 25 , error 0.017137, seconds 1161.40
Epoch 26 , error 0.017342, seconds 1206.26
Epoch 27 , error 0.016688, seconds 1250.93
Epoch 28 , error 0.016613, seconds 1295.19
Epoch 29 , error 0.016631, seconds 1339.47
Epoch 30 , error 0.016402, seconds 1383.57
Training Completed.
Start Training ...
Epoch 0 , error 0.057009, seconds 47.56
Epoch 1 , error 0.031543, seconds 95.26
Epoch 2 , error 0.027706, seconds 142.94
Epoch 3 , error 0.025613, seconds 190.53
Epoch 4 , error 0.024271, seconds 238.23
Epoch 5 , error 0.023463, seconds 286.04
Epoch 6 , error 0.022478, seconds 333.93
Epoch 7 , error 0.021981, seconds 381.09
Epoch 8 , error 0.021250, seconds 428.52
Epoch 9 , error 0.020791, seconds 476.16
Epoch 10 , error 0.020309, seconds 523.87
Epoch 11 , error 0.019935, seconds 571.82
Epoch 12 , error 0.019896, seconds 619.39
Epoch 13 , error 0.019381, seconds 666.33
Epoch 14 , error 0.018973, seconds 713.76
Epoch 15 , error 0.018811, seconds 761.38
Epoch 16 , error 0.018561, seconds 808.98
Epoch 17 , error 0.018448, seconds 856.26
Epoch 18 , error 0.018289, seconds 903.85
Epoch 19 , error 0.018184, seconds 951.53
Epoch 20 , error 0.017884, seconds 999.36
Epoch 21 , error 0.017866, seconds 1046.42
Epoch 22 , error 0.017496, seconds 1093.93
Epoch 23 , error 0.017257, seconds 1140.98
Epoch 24 , error 0.017437, seconds 1187.96
Epoch 25 , error 0.016992, seconds 1234.93
Training Completed.
Start Training ...
Epoch 0 , error 0.063352, seconds 96.08
Epoch 1 , error 0.038151, seconds 191.77
Epoch 2 , error 0.032950, seconds 287.02
Epoch 3 , error 0.030297, seconds 382.27
Epoch 4 , error 0.028177, seconds 477.55
Epoch 5 , error 0.026743, seconds 572.75
Epoch 6 , error 0.025655, seconds 667.79
Epoch 7 , error 0.024741, seconds 763.43
Epoch 8 , error 0.023983, seconds 859.19
Epoch 9 , error 0.023529, seconds 955.01
Epoch 10 , error 0.022961, seconds 1050.76
Epoch 11 , error 0.022542, seconds 1146.28
Epoch 12 , error 0.022084, seconds 1241.03
Epoch 13 , error 0.021789, seconds 1336.22
Epoch 14 , error 0.021533, seconds 1431.71
Epoch 15 , error 0.021032, seconds 1527.37
Epoch 16 , error 0.020694, seconds 1622.14
Epoch 17 , error 0.020384, seconds 1717.77
Epoch 18 , error 0.020227, seconds 1812.83
Epoch 19 , error 0.020058, seconds 1907.73
Epoch 20 , error 0.019790, seconds 2002.83
